,gene_name,X,threshold,ADA,ADE,ADF,ADL,AFD,AIA,AIB,AIM,AIN,AIY,AIZ,ALA,ALM,ALN,AQR,AS,ASEL,ASER,ASG,ASH,ASI,ASJ,ASK,AUA,AVA,AVB,AVD,AVE,AVF,AVG,AVH,AVJ,AVK,AVL,AVM,AWA,AWB,AWC_OFF,AWC_ON,BAG,BDU,CAN,CEP,DA,DA9,DB,DB01,DVA,DVB,DVC,FLP,HSN,I1,I2,I3,I4,I5,I6,IL1,IL2_DV,IL2_LR,LUA,M1,M2,M3,M4,M5,MC,MI,NSM,OLL,OLQ,PDA,PDB,PDE,PHA,PHB,PHC,PLM,PLN,PQR,PVC,PVD,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RMD_DV,RMD_LR,RME_DV,RME_LR,RMF,RMG,RMH,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,URA,URB,URX,URY,VA,VA12,VB,VB01,VB02,VC,VC_4_5,VD_DD
19851,flp-7,WBGene00001450,2,4575.545942,0,0,0,0,0,0,0,0,0,924.0422808,3726.041537,0,0,870.1763331,77.00554026,0,0,0,221.2567522,284.2169882,0,252.6603113,0,0,0,0,0,0,755.7230664,76.66027601,0,0,0,363.492512,0,0,0,0,0,0,0,0,0,0,0,142.7954098,0,0,720.1555962,0,0,0,0,0,0,0,0,0,0,0,1928.990531,0,0,0,0,0,0,0,0,0,0,0,0,0,718.3418511,665.2186026,202.0265581,0,0,507.9665844,0,0,1583.158696,2236.271525,0,0,1844.377189,0,1330.672946,0,0,0,0,0,0,0,786.7089774,86.21361295,0,0,0,0,0,432.6077246,192.8707288,80.39386984,0,0,1823.81134,0,0,0,0,0,311.0921739,0,0,82.49489425,0,0,0,0,0,121.9596841,0,0,0
20231,flp-26,WBGene00020126,2,8120.647106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.13002623,0,0,0,0,0,0,0,0,0,0,0,0,14199.44375,1452.668193,0,0,0,0,0,0,0,0,100.8410664,0,0,0,0,0,0,0,0,0,0,1112.89385,0,0,0,122.5349789,0,1944.193493,0,0,0,6117.027721,60291.66487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174.605202,0,0,0,118.6148787,752.9631295,726.9885182,0,149.088149,0,0,0,0,0,385.634647,0,0,0,0,511.970754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20481,nlp-61,WBGene00017813,2,1274.08869,85.14926314,0,1132.939788,0,0,595.1457531,0,0,757.7050176,0,0,0,0,0,0,0,107.0133871,0,0,0,0,512.7308785,0,0,0,0,0,0,0,0,0,0,0,0,484.44201,0,0,92.46178152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3021.830778,31.95700848,6516.730124,30.03849383,0,0,270.3420379,0,0,0,0,110.4957323,0,0,0,0,0,0,0,0,0,229.8309722,0,0,0,0,0,0,0,0,0,33.42772632,0,0,0,0,0,0,0,0,0,0
20901,flp-5,WBGene00001448,2,1101.637609,5394.180502,0,1256.879157,0,0,0,31971.38391,0,392.3703815,0,20707.94297,0,0,82127.41673,0,347.0463033,282.9200256,8058.632727,210.6675373,4109.045672,0,6101.279652,226.4837703,229.1841906,269.2407748,0,1660.286859,0,1868.08645,8003.646972,0,0,378.2385788,0,321.6956179,0,0,0,0,808.4882513,3800.283201,0,0,0,0,0,0,0,313.2884126,36902.86329,0,5851.372777,5647.433024,6428.189196,16465.99696,11319.02145,80146.29549,615.0626879,5265.459425,243.3007177,21495.82282,402.6195615,0,19778.65169,17312.95343,344.4513172,0,857.5062639,0,502.5408931,5661.584855,4373.616114,13303.20981,1077.543131,8084.21436,4699.234986,0,0,2099.375341,3974.746037,220.3040038,3145.092961,313.2736569,0,7529.689898,30963.61455,1935.498121,26263.96572,671.6021462,0,0,8669.749407,0,6665.52562,0,0,347.3137524,0,0,0,30852.35203,539.8301028,173.5226199,1182.306048,0,0,86581.81156,584.9433593,1159.807615,0,2882.280174,0,166.0500164,0,4543.077267,0,294.05641,0,30583.56524,0,90.90350922,0,0,0,0,0,0
21422,flp-2,WBGene00001445,2,639.9578332,421.2969235,0,0,0,61687.60794,0,0,0,943.4382255,0,0,0,0,561.5751524,0,0,0,0,0,0,0,0,0,75.20522151,0,0,0,0,0,663.8232375,0,0,0,0,0,0,0,0,0,0,153.3184625,0,0,0,0,0,0,0,0,0,1675.647931,0,0,0,238.8626583,843.1668791,0,0,0,36.34865618,0,57.42648841,0,0,51.56765677,0,375.2884418,0,0,0,0,0,0,0,0,0,0,0,0,1783.473449,1663.17585,0,0,723.4015006,0,0,0,0,0,0,1999.695987,79.70033009,2689.050742,0,0,0,0,0,0,0,128.9823171,0,0,0,0,0,0,0,1529.32463,0,1976.156587,0,0,0,0,0,0,952.0773423,0,0,0,0,0,0,1431.468361,0,0
21771,nlp-66,WBGene00011141,2,97.53118412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.476091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2442.035485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82088.58079,1715.684631,0,0,0,0,0,0,0,0,11366.27431,0,0,0,0,0,0,0,0,0,0,0,87.14177893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069.457968,22832.9633,0,0,0,0,0,0,0,0
22602,nlp-53,WBGene00012440,2,2095.679307,0,0,181.16299,0,0,449.8556243,75.46511325,0,431.9302753,0,448.4377633,0,0,0,0,0,0,0,0,0,0,121.6449772,125.1983643,200.415014,0,0,0,0,0,33.15157567,0,0,0,1419.338452,25.52398549,0,0,0,148.126119,0,0,207.8920198,468.9003319,0,0,0,0,0,996.5373148,82.42613871,968.153119,0,26.005168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.50128841,0,0,0,97.98647076,0,155.2616728,0,0,0,0,0,542.1557015,0,0,24.33210553,542.3707965,1609.142685,625.947592,282.6403146,84.89976861,466.5149069,0,0,2524.941665,0,0,0,0,21.23648465,4658.287865,0,250.5663265,0,0,50.28831275,0,0,0,0,0,383.4644606,1361.922716,0,0,0,285.1460888,0,188.0385062,119.9491452,0,0,0,0,0,0,0
23571,nlp-67,WBGene00011227,2,56.63357942,0,44.54866981,121.7211116,0,0,0,0,0,0,0,3320.498039,0,0,41.81642907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.28859666,174.0580335,0,50.05850336,0,0,0,0,0,199.5134175,0,0,0,0,0,0,0,0,0,0,0,0,97.69426677,0,0,0,0,2236.094539,0,0,0,0,0,0,95.53792379,0,0,0,4458.123062,0,0,0,0,0,0,0,0,0,0,0,0,61.75575165,0,0,0,0,44.96837074,0,210.8431662,0,0,0,0,0,144.7333972,0,0,0,0,0,30.28484664,0,0,0,0,0,53.69313152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24052,nlp-40,WBGene00022276,2,211.3644937,0,0,0,0,0,6396.67731,0,0,0,0,0,0,0,89.41239935,0,0,0,0,0,0,0,3446.243656,0,0,26.26844589,0,0,0,344.481769,130.5310634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15205.12245,245.1137735,0,0,0,0,0,148.1005493,0,0,0,0,0,0,0,104.8596999,137.8292542,0,0,0,0,56.0416617,556.5076398,0,0,0,0,0,0,0,0,0,457.6850307,0,0,0,0,0,0,0,72299.90501,0,0,190.6730376,0,0,6503.564068,0,0,4462.170626,0,0,154.139505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.1621187,0,4098.93576,0,0,0,0,0,0,0,0
29411,nlp-8,WBGene00003746,2,1641.828826,0,0,938.0391705,0,0,441.4308805,0,0,0,0,12411.16278,0,0,0,0,0,1141.990358,58.64454458,99.41021555,132.5720713,0,339.8577403,0,318.9655235,451.0748929,0,0,0,1114.066881,3734.485626,5573.568188,583.6236869,0,0,214.9466654,0,177.2777362,591.3153989,565.3980284,0,0,0,0,0,0,0,3977.510823,0,0,299.8570228,0,0,155.391987,0,0,0,0,0,0,0,196.3205351,0,461.433966,0,0,0,0,0,0,94.54335877,349.9494087,0,0,0,0,0,0,0,0,0,0,0,0,528.4097905,0,177.2970888,0,3062.93886,0,0,0,0,0,0,5307.963907,0,452.5185177,0,0,1504.969739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.4049166,0,1291.476548,0,0,0,0,0,0,0,461.6964973
33401,ins-29,WBGene00002112,2,203.9423794,0,0,0,0,19148.57006,0,0,316.1907299,1696.197049,0,0,388.9352807,0,75.11946647,0,0,0,0,0,0,0,202.2515872,0,0,0,0,0,0,0,0,0,208.0005845,0,0,1167.47072,0,0,0,11044.62268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.4207912,0,0,0,0,0,2554.751676,0,0,670.8041251,148.6587183,0,132.2891471,643.7456328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408.883808,0,0,0,1364.600256,0,0,5188.546807,45.8836704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.4079432,0,0,63.74318241,0,0,0,0,0,0
33412,ins-25,WBGene00002108,2,800.6405676,0,0,0,0,5273.784683,0,0,46.62060455,823.351452,0,0,110.2202858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.59833463,0,0,144.9797202,0,0,0,492.9016148,99.6170849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.36547315,0,0,0,0,0,3214.424194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.31083896,0,0,0,0,0,0,0,0,1535.054124,0,0,190.0938761,1274.467048,80.05460018,160.9026877,1625.632495,25.85079162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.23049792,0,0,0,0,0,0,0,0,0
33421,ins-27,WBGene00002110,2,32.03697043,15.10309896,201.4458559,0,0,0,0,0,106.8170829,63.67052951,0,0,14.96448794,0,0,0,228.7294757,46.85500276,13.01484444,87.1657379,0,27.88068044,82.88119678,23.09215386,0,0,0,0,0,0,0,0,9.037492417,0,11.5198598,0,127.1895038,289.3657436,81.23738592,29.58046476,35.36549275,0,21.92998613,0,0,0,0,0,0,0,18.41990055,0,0,0,0,50.65700655,69.69094929,0,0,0,5.751072529,83.25893751,0,90.16940818,0,49.42665085,9.788732073,0,15.67966668,0,0,0,0,0,0,18.07706109,0,0,5.07021227,0,0,0,0,71.25578185,0,0,0,0,7.739157977,0,0,314.3156205,112.9155675,0,0,35.23373542,353.0237086,0,125.5683305,19.0219396,226.7793261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.416542,0,0,48.15141812,0,13.02702489,0,0,0,0
34891,nlp-29,WBGene00003767,2,14.50000167,10.96534185,0.921249613,0,0,0,0,2.112779881,0,1.455037054,0,2.057746279,0,0,0,0,14.36338096,0,2.063190782,0,0,0,20.15855424,0,15.41721443,0.807415548,0.625855543,0,1.933076195,0,10.11236816,2.681511313,0,0.350770095,0,24.77186725,14.09590675,0,0,0,0,15.55115777,17.34151397,4.832430755,0,5.779094139,1.377487097,18.44873092,0,0,11.3978394,0,0,0,0,1.138113747,0,0,0,0,0,11.28934746,0,6.752612233,0,0,0,1.949104598,0,1.471839176,0,28.82524476,0,0,0,8.295585251,0,0,0,0,0,2.999968285,0,0,0,0,0,0,0,0,0,1.932501019,2.195590904,0,0,0,0,0,0,0,0,1.320315754,0,0,35.87276586,0,3.951667085,0,0,0,0,0,0.798793437,7.572952282,0.680252234,0,0,0,0,0,2.341554317,0,0,0,1.979955781,0,0,0.792362213
34901,nlp-27,WBGene00003765,2,16.74974932,0,5.256466307,0,2.450275555,0,0,0.917618415,8.527318368,4.18994663,0,84.03835804,0,0,0,0,0,0,2.066318124,0,2.244960789,0,0,0,2.226247635,5.880309265,1.256300912,4.522878374,48.61425403,1.353482418,2.325979563,0,0,30.47022893,0,0.84545622,0,0,8.714383193,0,9.658240654,5.683223151,23.51842102,1.148368114,0,1.814023422,0,0,0,9.932895274,38.85466594,0,29.15235389,0,0,6.481156645,0,0,0,0,1.678974795,77.00947731,0,2.796992942,0,0,0,4.487224321,0,0,0,89.82517297,0,0,0,5.969720227,0,0,2.497787732,3.462929792,0,0,0,0,0,0,0.7739621,0,0,0,2.073497331,17.74449311,3.046697101,0,2.737967497,0,0,3.200783247,0,0,0,10.41199959,9.641506565,0,43.38412262,0,23.00241734,0,0,0,0,4.265317444,3.441507552,3.638523151,1.755522756,1.880529623,0,60.25225628,4.968782608,0,0,9.792868401,0,0,2.426427114,0,0,2.915079359
34951,nlp-13,WBGene00003751,2,2991.708203,0,0,0,0,0,0,37.48220452,0,0,3109.750771,0,0,0,0,0,46.76248887,104.853945,0,188.8130593,0,0,0,0,1081.039501,0,6973.462468,0,0,0,0,0,0,0,110.6944152,0,312.6186745,0,463.5756838,776.8876687,0,0,0,4182.488045,2188.572238,0,0,0,0,2181.597914,399.7180382,0,0,0,0,6276.446927,0,0,0,0,0,525.3922167,9407.660228,7566.9934,0,1488.095238,0,0,0,1016.011142,0,0,26404.06149,0,0,194.5660267,0,0,0,202.6872173,488.6255591,0,0,0,0,0,253.3310457,2302.064955,25.55991153,13089.69392,0,2161.376513,1040.956619,0,0,0,1427.61045,2980.940033,0,0,1380.073888,776.5447522,673.6183297,0,301.1151122,0,0,0,0,0,717.3271432,0,211.9589048,0,0,238.0294499,0,0,0,224.2458668,2224.683693,4419.02365,256.8247858,0,0,5422.852105,0,867.7602133
40112,nlp-59,WBGene00008522,2,1767.082621,0,0,0,37.6299499,0,0,0,0,0,21.48653574,0,75.61901024,382.0842885,290.7056162,0,20.41202039,2807.164239,0,1861.947925,0,0,81.26396107,0,0,0,0,0,0,0,0,0,454.4237596,0,0,273.1213706,0,0,0,1437.726043,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.261799,122.4121216,0,0,59.71388964,0,0,0,0,0,0,791.0612933,0,206.4572846,0,0,0,0,162.5843503,0,0,0,0,0,0,25.18764263,0,176.9462658,196.2883705,0,0,241.1338335,51.56634105,65.37577218,0,3118.664056,0,90.22801291,0,0,0,0,0,0,378.9375358,0,142.9726201,0,0,0,0,0,0,0,0,0,0,0,0,578.7495792,0,418.2552765,0,0,0,0,0,0,0,0,0,0,0,0,0
46362,nlp-82,WBGene00044006,2,11194.16314,0,0,107.515617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.22254565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2774102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.01492738,0,0,0,0,0,0,0,0,0,0,281.4098807,0,0,0,0,0,0,0,0,0,0,0,0,3761.683171,0,0,0,0,3589.465768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48561,flp-16,WBGene00001459,2,6874.529018,0,0,806.1326667,287.8007594,0,0,155.0847138,0,0,4289.993459,2600.846712,252.4491287,0,1235.160796,0,1292.209685,1973.474343,0,266.8824483,0,0,333.1777919,916.2330219,1985.684544,0,0,0,0,0,0,0,178.4089843,0,4748.005693,231.4646942,864.3484411,1304.430739,1480.097106,1003.765536,0,0,0,0,0,0,0,2432.881343,86.59097534,66.04476513,660.667347,0,0,0,0,1273.570258,0,0,322.3551611,1099.483189,0,9468.599767,0,0,143.770653,0,0,0,0,0,0,1099.850812,0,0,0,271.7569724,2955.806452,0,4095.984173,0,763.0804781,0,0,5071.861698,0,716.662818,513.0943315,5812.496523,402.9912664,814.4423824,0,0,431.3301892,0,408.1543202,3087.788355,0,0,63.03211372,556.1286101,0,0,0,0,1428.019619,0,0,2383.490463,164.3978663,0,0,0,0,0,267.1353925,0,0,1044.834367,0,504.1400434,179.3571716,0,559.3863013,0,0,0,0,0
50181,nlp-47,WBGene00018117,2,0,94.03064687,572.8938917,85.5296051,0,0,0,1337.300861,578.3023162,0,0,0,0,0,603.373962,0,1165.643122,1859.485511,41.13637363,163.9330609,326.9625503,333.4154561,192.6988996,373.3046063,6386.300402,0,0,0,0,0,0,0,0,0,0,663.7793351,1593.608619,1192.034408,1356.62469,3095.640612,623.2429268,0,0,0,0,0,0,0,0,219.8627194,1024.248203,0,0,0,0,0,0,0,0,98.8656627,624.0965172,0,0,0,0,0,0,0,0,0,268.6669269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.2726047,0,0,0,67.00751389,0,0,0,833.1549401,0,6071.989806,1202.186171,0,0,0,0,0,0,0,153.3117758,211.4912285,0,0,0,0,0,625.1388358,0,426.4326741,1562.574598,694.6811306,167.3382779,0,0,0,0,0,0,0,0
52181,nlp-52,WBGene00018363,2,0,290.8295136,0,0,0,0,0,4566.303386,0,0,0,0,110.3476225,0,0,0,0,0,0,0,0,0,244.7830062,0,0,43.06107521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.4972668,0,238.4180746,0,0,0,0,0,0,0,0,0,364.0883235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.9406131,0,0,0,0,0,0,133.2502823,94.84198931,0,0,0,72.92779693,0,0,0,690.7001138,0,662.4005526,0,0,0,0,0,0,0,2813.782294,0,5659.780691,0,2495.55658,0,0,1341.533676,13106.58048,595.2179658,46.39826001,0,0,0,0,0,0,0,0,0,184.9961312,197.1083331,5209.715155,0,0,0,278.9460814,0,0,0,0
54182,nlp-68,WBGene00011899,2,0,2140.329595,0,0,0,0,0,0,0,0,0,157.2489112,23.71051833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.892444,0,496.0136546,0,0,0,987.159483,0,0,0,0,0,0,0,0,0,0,0,0,153.4165955,0,0,0,103.5773415,0,177.4673587,0,708.0986583,2058.013954,1440.801451,0,0,212.3062368,0,7925.162125,391.8407102,524.3171057,793.0707902,150.4041074,0,0,0,0,601.5258123,29.8381963,0,79.22247072,0,0,0,0,0,0,0,0,210.5837538,0,0,241.645108,243.9976461,0,0,0,0,0,0,0,0,1050.489564,0,1921.0131,0,0,0,0,0,0,0,616.6812252,0,0,0,0,0,0,0,0,0,0,128.1474078,0,0,0,0,0,0,0,0,0,0
